"Thématiques","Critères","Création de compte","Accueil","Mentions légales","Accessibilité","Aide / Support","Authentification","Page formulaire"
"1","1","na",,,,,,
"1","2",,,,,,,
"1","3",,,,,,,
"1","4",,,,,,,
"1","5",,,,,,,
"1","6",,,,,,,
"1","7",,,,,,,
"1","8",,,,,,,
"1","9",,,,,,,
"2","1",,,,,,,
"2","2",,,,,,,
"3","1","c",,,,,,
"3","2",,,,,,,
"3","3",,,,,,,
"4","1","na",,,,,,
"4","2",,,,,,,
"4","3",,,,,,,
"4","4",,,,,,,
"4","5",,,,,,,
"4","6",,,,,,,
"4","7",,,,,,,
"4","8",,,,,,,
"4","9",,,,,,,
"4","10","na",,,,,,
"4","11",,,,,,,
"4","12",,,,,,,
"4","13",,,,,,,
"5","1",,,,,,,
"5","2",,,,,,,
"5","3","na",,,,,,
"5","4",,,,,,,
"5","5",,,,,,,
"5","6",,,,,,,
"5","7","na",,,,,,
"5","8",,,,,,,
"6","1","nc|Le lien du titre h1 pourrait mentionner ""retour à l'accueil"" (ou quelque-chose de ce style). À l'état actuel il n'est pas explicite.",,,,,,
"6","2","nc|Les liens pour regénérer un captcha ou pour l'écouter n'ont pas d'intitulés",,,,,,
"7","1","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>","nc|Le menu ""burger"" pour les petits formats d'écrans devrait être un bouton <button> et pas un lien <a>"
"7","2",,,,,,,
"7","3","c",,,,,,
"7","4",,,,,,,
"7","5",,,,,,,
"8","1",,,,,,,
"8","2",,,,,,,
"8","3","c",,,,,,
"8","4","c",,,,,,
"8","5","c",,,,,,
"8","6",,,,,,,
"8","7",,,,,,,
"8","8",,,,,,,
"8","9",,,,,,,
"8","10",,,,,,,
"9","1","nc|Hiérarchie non pertinente, les titres ""Informations personnelles"", ""Accès"", etc. devraient être de niveau 3 au lieu de 2",,,,,,
"9","2",,,,,,,
"9","3",,,,,,,
"9","4",,,,,,,
"10","1",,,,,,,
"10","2",,,,,,,
"10","3","c",,,,,,
"10","4",,,,,,,
"10","5",,,,,,,
"10","6","nc|Le lien image du titre et logo ne dispose pas d'indication visuelle au survol",,,,,,
"10","7","nc|Le contraste du focus sur les champs de saisie est trop faible (1,9:1)",,,,,,
"10","8",,,,,,,
"10","9",,,,,,,
"10","10",,,,,,,
"10","11",,,,,,,
"10","12",,,,,,,
"10","13",,,,,,,
"10","14",,,,,,,
"11","1","nc|Les labels n'ont pas d'attribut ""for""",,,,,,
"11","2","na",,,,,,
"11","3",,,,,,,
"11","4",,,,,,,
"11","5","nc",,,,,,
"11","6","na",,,,,,
"11","7",,,,,,,
"11","8",,,,,,,
"11","9","c",,,,,,
"11","10","nc|Les étoiles n'ont pas de légende",,,,,,
"11","11",,,,,,,
"11","12",,,,,,,
"11","13",,,,,,,
"12","1",,,,,,,
"12","2",,,,,,,
"12","3",,,,,,,
"12","4",,,,,,,
"12","5",,,,,,,
"12","6",,,,,,,
"12","7",,,,,,,
"12","8","c",,,,,,
"12","9","c",,,,,,
"12","10",,,,,,,
"12","11",,,,,,,
"13","1",,,,,,,
"13","2",,,,,,,
"13","3",,,,,,,
"13","4",,,,,,,
"13","5",,,,,,,
"13","6",,,,,,,
"13","7",,,,,,,
"13","8",,,,,,,
"13","9",,,,,,,
"13","10",,,,,,,
"13","11",,,,,,,
"13","12",,,,,,,
